State: back1, Head: 19, Tape: BBBBBBBBBBBBBBBBBIII+101001010c11*10100010BBBBBBBBBBBBBBBBBBBBBB
State: back1, Head: 20, Tape: BBBBBBBBBBBBBBBBBIII+101001010c11*10100010BBBBBBBBBBBBBBBBBBBBBB
State: back1, Head: 21, Tape: BBBBBBBBBBBBBBBBBIII+101001010c11*10100010BBBBBBBBBBBBBBBBBBBBBB
State: back1, Head: 22, Tape: BBBBBBBBBBBBBBBBBIII+101001010c11*10100010BBBBBBBBBBBBBBBBBBBBBB
State: back1, Head: 23, Tape: BBBBBBBBBBBBBBBBBIII+101001010c11*10100010BBBBBBBBBBBBBBBBBBBBBB
State: back1, Head: 24, Tape: BBBBBBBBBBBBBBBBBIII+101001010c11*10100010BBBBBBBBBBBBBBBBBBBBBB
State: back1, Head: 25, Tape: BBBBBBBBBBBBBBBBBIII+101001010c11*10100010BBBBBBBBBBBBBBBBBBBBBB
State: back1, Head: 26, Tape: BBBBBBBBBBBBBBBBBIII+101001010c11*10100010BBBBBBBBBBBBBBBBBBBBBB
State: back1, Head: 27, Tape: BBBBBBBBBBBBBBBBBIII+101001010c11*10100010BBBBBBBBBBBBBBBBBBBBBB
State: back1, Head: 28, Tape: BBBBBBBBBBBBBBBBBIII+101001010c11*10100010BBBBBBBBBBBBBBBBBBBBBB
State: back1, Head: 29, Tape: BBBBBBBBBBBBBBBBBIII+101001010c11*10100010BBBBBBBBBBBBBBBBBBBBBB
State: back1, Head: 30, Tape: BBBBBBBBBBBBBBBBBIII+101001010c11*10100010BBBBBBBBBBBBBBBBBBBBBB
State: read, Head: 29, Tape: BBBBBBBBBBBBBBBBBIII+101001010111*10100010BBBBBBBBBBBBBBBBBBBBBB
State: have0, Head: 28, Tape: BBBBBBBBBBBBBBBBBIII+10100101c111*10100010BBBBBBBBBBBBBBBBBBBBBB
State: have0, Head: 27, Tape: BBBBBBBBBBBBBBBBBIII+10100101c111*10100010BBBBBBBBBBBBBBBBBBBBBB
State: have0, Head: 26, Tape: BBBBBBBBBBBBBBBBBIII+10100101c111*10100010BBBBBBBBBBBBBBBBBBBBBB
State: have0, Head: 25, Tape: BBBBBBBBBBBBBBBBBIII+10100101c111*10100010BBBBBBBBBBBBBBBBBBBBBB
State: have0, Head: 24, Tape: BBBBBBBBBBBBBBBBBIII+10100101c111*10100010BBBBBBBBBBBBBBBBBBBBBB
State: have0, Head: 23, Tape: BBBBBBBBBBBBBBBBBIII+10100101c111*10100010BBBBBBBBBBBBBBBBBBBBBB
State: have0, Head: 22, Tape: BBBBBBBBBBBBBBBBBIII+10100101c111*10100010BBBBBBBBBBBBBBBBBBBBBB
State: have0, Head: 21, Tape: BBBBBBBBBBBBBBBBBIII+10100101c111*10100010BBBBBBBBBBBBBBBBBBBBBB
State: have0, Head: 20, Tape: BBBBBBBBBBBBBBBBBIII+10100101c111*10100010BBBBBBBBBBBBBBBBBBBBBB
State: add0, Head: 19, Tape: BBBBBBBBBBBBBBBBBIII+10100101c111*10100010BBBBBBBBBBBBBBBBBBBBBB
State: add0, Head: 18, Tape: BBBBBBBBBBBBBBBBBIII+10100101c111*10100010BBBBBBBBBBBBBBBBBBBBBB
State: add0, Head: 17, Tape: BBBBBBBBBBBBBBBBBIII+10100101c111*10100010BBBBBBBBBBBBBBBBBBBBBB
State: add0, Head: 16, Tape: BBBBBBBBBBBBBBBBBIII+10100101c111*10100010BBBBBBBBBBBBBBBBBBBBBB
State: back0, Head: 17, Tape: BBBBBBBBBBBBBBBBOIII+10100101c111*10100010BBBBBBBBBBBBBBBBBBBBBB
State: back0, Head: 18, Tape: BBBBBBBBBBBBBBBBOIII+10100101c111*10100010BBBBBBBBBBBBBBBBBBBBBB
State: back0, Head: 19, Tape: BBBBBBBBBBBBBBBBOIII+10100101c111*10100010BBBBBBBBBBBBBBBBBBBBBB
State: back0, Head: 20, Tape: BBBBBBBBBBBBBBBBOIII+10100101c111*10100010BBBBBBBBBBBBBBBBBBBBBB
State: back0, Head: 21, Tape: BBBBBBBBBBBBBBBBOIII+10100101c111*10100010BBBBBBBBBBBBBBBBBBBBBB
State: back0, Head: 22, Tape: BBBBBBBBBBBBBBBBOIII+10100101c111*10100010BBBBBBBBBBBBBBBBBBBBBB
State: back0, Head: 23, Tape: BBBBBBBBBBBBBBBBOIII+10100101c111*10100010BBBBBBBBBBBBBBBBBBBBBB
State: back0, Head: 24, Tape: BBBBBBBBBBBBBBBBOIII+10100101c111*10100010BBBBBBBBBBBBBBBBBBBBBB
State: back0, Head: 25, Tape: BBBBBBBBBBBBBBBBOIII+10100101c111*10100010BBBBBBBBBBBBBBBBBBBBBB
State: back0, Head: 26, Tape: BBBBBBBBBBBBBBBBOIII+10100101c111*10100010BBBBBBBBBBBBBBBBBBBBBB
State: back0, Head: 27, Tape: BBBBBBBBBBBBBBBBOIII+10100101c111*10100010BBBBBBBBBBBBBBBBBBBBBB
State: back0, Head: 28, Tape: BBBBBBBBBBBBBBBBOIII+10100101c111*10100010BBBBBBBBBBBBBBBBBBBBBB
State: back0, Head: 29, Tape: BBBBBBBBBBBBBBBBOIII+10100101c111*10100010BBBBBBBBBBBBBBBBBBBBBB
State: read, Head: 28, Tape: BBBBBBBBBBBBBBBBOIII+101001010111*10100010BBBBBBBBBBBBBBBBBBBBBB
State: have1, Head: 27, Tape: BBBBBBBBBBBBBBBBOIII+1010010c0111*10100010BBBBBBBBBBBBBBBBBBBBBB
State: have1, Head: 26, Tape: BBBBBBBBBBBBBBBBOIII+1010010c0111*10100010BBBBBBBBBBBBBBBBBBBBBB
State: have1, Head: 25, Tape: BBBBBBBBBBBBBBBBOIII+1010010c0111*10100010BBBBBBBBBBBBBBBBBBBBBB
State: have1, Head: 24, Tape: BBBBBBBBBBBBBBBBOIII+1010010c0111*10100010BBBBBBBBBBBBBBBBBBBBBB
