State: back0, Head: 11, Tape: BBBBB1011II+1011110c0*10BBBBBBBBBBBBB
State: back0, Head: 12, Tape: BBBBB1011II+1011110c0*10BBBBBBBBBBBBB
State: back0, Head: 13, Tape: BBBBB1011II+1011110c0*10BBBBBBBBBBBBB
State: back0, Head: 14, Tape: BBBBB1011II+1011110c0*10BBBBBBBBBBBBB
State: back0, Head: 15, Tape: BBBBB1011II+1011110c0*10BBBBBBBBBBBBB
State: back0, Head: 16, Tape: BBBBB1011II+1011110c0*10BBBBBBBBBBBBB
State: back0, Head: 17, Tape: BBBBB1011II+1011110c0*10BBBBBBBBBBBBB
State: back0, Head: 18, Tape: BBBBB1011II+1011110c0*10BBBBBBBBBBBBB
State: back0, Head: 19, Tape: BBBBB1011II+1011110c0*10BBBBBBBBBBBBB
State: read, Head: 18, Tape: BBBBB1011II+101111000*10BBBBBBBBBBBBB
State: have0, Head: 17, Tape: BBBBB1011II+101111c00*10BBBBBBBBBBBBB
State: have0, Head: 16, Tape: BBBBB1011II+101111c00*10BBBBBBBBBBBBB
State: have0, Head: 15, Tape: BBBBB1011II+101111c00*10BBBBBBBBBBBBB
State: have0, Head: 14, Tape: BBBBB1011II+101111c00*10BBBBBBBBBBBBB
State: have0, Head: 13, Tape: BBBBB1011II+101111c00*10BBBBBBBBBBBBB
State: have0, Head: 12, Tape: BBBBB1011II+101111c00*10BBBBBBBBBBBBB
State: have0, Head: 11, Tape: BBBBB1011II+101111c00*10BBBBBBBBBBBBB
State: add0, Head: 10, Tape: BBBBB1011II+101111c00*10BBBBBBBBBBBBB
State: add0, Head: 9, Tape: BBBBB1011II+101111c00*10BBBBBBBBBBBBB
State: add0, Head: 8, Tape: BBBBB1011II+101111c00*10BBBBBBBBBBBBB
State: back0, Head: 9, Tape: BBBBB101III+101111c00*10BBBBBBBBBBBBB
State: back0, Head: 10, Tape: BBBBB101III+101111c00*10BBBBBBBBBBBBB
State: back0, Head: 11, Tape: BBBBB101III+101111c00*10BBBBBBBBBBBBB
State: back0, Head: 12, Tape: BBBBB101III+101111c00*10BBBBBBBBBBBBB
State: back0, Head: 13, Tape: BBBBB101III+101111c00*10BBBBBBBBBBBBB
State: back0, Head: 14, Tape: BBBBB101III+101111c00*10BBBBBBBBBBBBB
State: back0, Head: 15, Tape: BBBBB101III+101111c00*10BBBBBBBBBBBBB
State: back0, Head: 16, Tape: BBBBB101III+101111c00*10BBBBBBBBBBBBB
State: back0, Head: 17, Tape: BBBBB101III+101111c00*10BBBBBBBBBBBBB
State: back0, Head: 18, Tape: BBBBB101III+101111c00*10BBBBBBBBBBBBB
State: read, Head: 17, Tape: BBBBB101III+101111000*10BBBBBBBBBBBBB
State: have1, Head: 16, Tape: BBBBB101III+10111c000*10BBBBBBBBBBBBB
State: have1, Head: 15, Tape: BBBBB101III+10111c000*10BBBBBBBBBBBBB
State: have1, Head: 14, Tape: BBBBB101III+10111c000*10BBBBBBBBBBBBB
State: have1, Head: 13, Tape: BBBBB101III+10111c000*10BBBBBBBBBBBBB
State: have1, Head: 12, Tape: BBBBB101III+10111c000*10BBBBBBBBBBBBB
State: have1, Head: 11, Tape: BBBBB101III+10111c000*10BBBBBBBBBBBBB
State: add1, Head: 10, Tape: BBBBB101III+10111c000*10BBBBBBBBBBBBB
State: add1, Head: 9, Tape: BBBBB101III+10111c000*10BBBBBBBBBBBBB
State: add1, Head: 8, Tape: BBBBB101III+10111c000*10BBBBBBBBBBBBB
State: add1, Head: 7, Tape: BBBBB101III+10111c000*10BBBBBBBBBBBBB
State: carry, Head: 6, Tape: BBBBB10OIII+10111c000*10BBBBBBBBBBBBB
State: back1, Head: 7, Tape: BBBBB11OIII+10111c000*10BBBBBBBBBBBBB
State: back1, Head: 8, Tape: BBBBB11OIII+10111c000*10BBBBBBBBBBBBB
State: back1, Head: 9, Tape: BBBBB11OIII+10111c000*10BBBBBBBBBBBBB
State: back1, Head: 10, Tape: BBBBB11OIII+10111c000*10BBBBBBBBBBBBB
State: back1, Head: 11, Tape: BBBBB11OIII+10111c000*10BBBBBBBBBBBBB
State: back1, Head: 12, Tape: BBBBB11OIII+10111c000*10BBBBBBBBBBBBB
State: back1, Head: 13, Tape: BBBBB11OIII+10111c000*10BBBBBBBBBBBBB
State: back1, Head: 14, Tape: BBBBB11OIII+10111c000*10BBBBBBBBBBBBB
State: back1, Head: 15, Tape: BBBBB11OIII+10111c000*10BBBBBBBBBBBBB
State: back1, Head: 16, Tape: BBBBB11OIII+10111c000*10BBBBBBBBBBBBB
State: back1, Head: 17, Tape: BBBBB11OIII+10111c000*10BBBBBBBBBBBBB
State: read, Head: 16, Tape: BBBBB11OIII+101111000*10BBBBBBBBBBBBB
State: have1, Head: 15, Tape: BBBBB11OIII+1011c1000*10BBBBBBBBBBBBB
State: have1, Head: 14, Tape: BBBBB11OIII+1011c1000*10BBBBBBBBBBBBB
State: have1, Head: 13, Tape: BBBBB11OIII+1011c1000*10BBBBBBBBBBBBB
State: have1, Head: 12, Tape: BBBBB11OIII+1011c1000*10BBBBBBBBBBBBB
State: have1, Head: 11, Tape: BBBBB11OIII+1011c1000*10BBBBBBBBBBBBB
State: add1, Head: 10, Tape: BBBBB11OIII+1011c1000*10BBBBBBBBBBBBB
State: add1, Head: 9, Tape: BBBBB11OIII+1011c1000*10BBBBBBBBBBBBB
State: add1, Head: 8, Tape: BBBBB11OIII+1011c1000*10BBBBBBBBBBBBB
State: add1, Head: 7, Tape: BBBBB11OIII+1011c1000*10BBBBBBBBBBBBB
State: add1, Head: 6, Tape: BBBBB11OIII+1011c1000*10BBBBBBBBBBBBB
State: carry, Head: 5, Tape: BBBBB1OOIII+1011c1000*10BBBBBBBBBBBBB
State: carry, Head: 4, Tape: BBBBB0OOIII+1011c1000*10BBBBBBBBBBBBB
State: back1, Head: 5, Tape: BBBB10OOIII+1011c1000*10BBBBBBBBBBBBB
State: back1, Head: 6, Tape: BBBB10OOIII+1011c1000*10BBBBBBBBBBBBB
State: back1, Head: 7, Tape: BBBB10OOIII+1011c1000*10BBBBBBBBBBBBB
State: back1, Head: 8, Tape: BBBB10OOIII+1011c1000*10BBBBBBBBBBBBB
State: back1, Head: 9, Tape: BBBB10OOIII+1011c1000*10BBBBBBBBBBBBB
State: back1, Head: 10, Tape: BBBB10OOIII+1011c1000*10BBBBBBBBBBBBB
State: back1, Head: 11, Tape: BBBB10OOIII+1011c1000*10BBBBBBBBBBBBB
State: back1, Head: 12, Tape: BBBB10OOIII+1011c1000*10BBBBBBBBBBBBB
State: back1, Head: 13, Tape: BBBB10OOIII+1011c1000*10BBBBBBBBBBBBB
State: back1, Head: 14, Tape: BBBB10OOIII+1011c1000*10BBBBBBBBBBBBB
State: back1, Head: 15, Tape: BBBB10OOIII+1011c1000*10BBBBBBBBBBBBB
State: back1, Head: 16, Tape: BBBB10OOIII+1011c1000*10BBBBBBBBBBBBB
State: read, Head: 15, Tape: BBBB10OOIII+101111000*10BBBBBBBBBBBBB
State: have1, Head: 14, Tape: BBBB10OOIII+101c11000*10BBBBBBBBBBBBB
State: have1, Head: 13, Tape: BBBB10OOIII+101c11000*10BBBBBBBBBBBBB
State: have1, Head: 12, Tape: BBBB10OOIII+101c11000*10BBBBBBBBBBBBB
State: have1, Head: 11, Tape: BBBB10OOIII+101c11000*10BBBBBBBBBBBBB
State: add1, Head: 10, Tape: BBBB10OOIII+101c11000*10BBBBBBBBBBBBB
State: add1, Head: 9, Tape: BBBB10OOIII+101c11000*10BBBBBBBBBBBBB
State: add1, Head: 8, Tape: BBBB10OOIII+101c11000*10BBBBBBBBBBBBB
State: add1, Head: 7, Tape: BBBB10OOIII+101c11000*10BBBBBBBBBBBBB
State: add1, Head: 6, Tape: BBBB10OOIII+101c11000*10BBBBBBBBBBBBB
State: add1, Head: 5, Tape: BBBB10OOIII+101c11000*10BBBBBBBBBBBBB
State: back1, Head: 6, Tape: BBBB1IOOIII+101c11000*10BBBBBBBBBBBBB
State: back1, Head: 7, Tape: BBBB1IOOIII+101c11000*10BBBBBBBBBBBBB
State: back1, Head: 8, Tape: BBBB1IOOIII+101c11000*10BBBBBBBBBBBBB
State: back1, Head: 9, Tape: BBBB1IOOIII+101c11000*10BBBBBBBBBBBBB
State: back1, Head: 10, Tape: BBBB1IOOIII+101c11000*10BBBBBBBBBBBBB
State: back1, Head: 11, Tape: BBBB1IOOIII+101c11000*10BBBBBBBBBBBBB
State: back1, Head: 12, Tape: BBBB1IOOIII+101c11000*10BBBBBBBBBBBBB
State: back1, Head: 13, Tape: BBBB1IOOIII+101c11000*10BBBBBBBBBBBBB
State: back1, Head: 14, Tape: BBBB1IOOIII+101c11000*10BBBBBBBBBBBBB
State: back1, Head: 15, Tape: BBBB1IOOIII+101c11000*10BBBBBBBBBBBBB
State: read, Head: 14, Tape: BBBB1IOOIII+101111000*10BBBBBBBBBBBBB
State: have1, Head: 13, Tape: BBBB1IOOIII+10c111000*10BBBBBBBBBBBBB
State: have1, Head: 12, Tape: BBBB1IOOIII+10c111000*10BBBBBBBBBBBBB
State: have1, Head: 11, Tape: BBBB1IOOIII+10c111000*10BBBBBBBBBBBBB
State: add1, Head: 10, Tape: BBBB1IOOIII+10c111000*10BBBBBBBBBBBBB
State: add1, Head: 9, Tape: BBBB1IOOIII+10c111000*10BBBBBBBBBBBBB
State: add1, Head: 8, Tape: BBBB1IOOIII+10c111000*10BBBBBBBBBBBBB
State: add1, Head: 7, Tape: BBBB1IOOIII+10c111000*10BBBBBBBBBBBBB
State: add1, Head: 6, Tape: BBBB1IOOIII+10c111000*10BBBBBBBBBBBBB
State: add1, Head: 5, Tape: BBBB1IOOIII+10c111000*10BBBBBBBBBBBBB
State: add1, Head: 4, Tape: BBBB1IOOIII+10c111000*10BBBBBBBBBBBBB
State: carry, Head: 3, Tape: BBBBOIOOIII+10c111000*10BBBBBBBBBBBBB
